**Rank**	**Name**	**Sector**	**Absolute growth rate** ^(in %)^	**Compound annual growth rate (CAGR)** ^(in %)^	**Revenue 2023** ^(in SGD)^	**Revenue 2020** ^(in SGD)^	**Number of employees 2023**	**Number of employees 2020**	**Founding year**
1	<a href=https://pfp-fa.com/>PFPFA</a>	Fintech, Financial Services & Insurance	4,765.14%	265.06%	24,325,685	500,000	189	4	2020
2	<a href=https://focus.sg/>Focus Digital Technology Group</a>	IT & Software	3,154.78%	219.28%	6,012,192	184,719	34	7	2020
3	<a href=https://www.wiz.ai/>WIZ.AI</a>	IT & Software	2,681.04%	202.97%	12,834,794	462,735	270	68	2019
4	<a href=https://www.casamia.co/>Casa Mia Coliving</a>	Real Estate	2,675.37%	202.77%	5,516,746	198,775	20	1	2019
5	<a href=https://gozem.co/en/>Gozem</a>	IT & Software	1,873.67%	170.25%	13,559,075	688,823	455	162	2017
6	<a href=https://elxa.io>elxa</a>	Logistics & Transportation	1,714.76%	162.79%	37,723,367	2,078,701	6	2	2020
7	<a href=https://www.propertylimbrothers.com/>PropertyLimBrothers</a>	Advertising & Marketing	1,569.73%	155.59%	6,466,156	387,257	48	10	2017
8	<a href=https://www.theassemblyplace.com/>The Assembly Place</a>	Real Estate	1,511.27%	152.57%	15,567,435	966,159	38	8	2019
9	<a href=https://endowus.com/>Endowus</a>	Fintech, Financial Services & Insurance	1,345.26%	143.58%	8,832,548	611,138	106	31	2017
10	<a href=https://www.globaltix.com/>GlobalTix</a>	Hospitality & Travel	1,281.40%	139.94%	87,691,024	6,347,996	130	53	2013
11	<a href=https://yoowifi.com/>Yoowifi</a>	Hospitality & Travel	1,209.05%	135.68%	6,249,398	477,401	18	3	2013
12	<a href=https://aspireapp.com/>Aspire</a>	Fintech, Financial Services & Insurance	989.96%	121.72%	53,429,837	4,902,002	441	90	2019
13	<a href=https://www.synagie.com/>Synagie</a>	Ecommerce	779.32%	106.40%	126,595,000	14,397,000	383	202	2014
14	<a href=https://erudifi.com/>ErudiFi</a>	Fintech, Financial Services & Insurance	767.50%	105.47%	4,510,700	521,348	142	55	2020
15	<a href=http://www.hmd-apac.com/>HMD APAC</a>	Wholesale	751.22%	104.18%	7,281,731	855,444	6	1	2019
16	<a href=https://propseller.com/>Propseller</a>	Real Estate	750.88%	104.15%	7,936,962	932,793	63	20	2018
17	<a href=https://xaltius.tech/>Xaltius</a>	Education & Social Services	745.17%	103.70%	2,134,863	252,595	50	5	2017
18	<a href=https://redex.eco/>REDEX Group</a>	Energy & Utilities	629.01%	93.90%	6,928,083	952,864	60	4	2018
19	<a href=https://www.nium.com/>Nium</a>	Fintech, Financial Services & Insurance	575.96%	89.08%	144,919,414	21,496,024	1030	420	2014
20	<a href=https://insidersecurity.co/>InsiderSecurity</a>	IT & Software	513.04%	83.02%	2,930,279	477,994	30	15	2015
21	<a href=https://weima.sg/>Weima Builders</a>	Construction & Engineering	508.36%	82.55%	119,705,991	19,676,968	233	77	2017
22	<a href=https://www.conexus.sg/>Conexus Studio</a>	Construction & Engineering	470.28%	78.66%	28,953,202	5,077,007	62	10	2019
23	<a href=https://www.webuysg.com/Investor/index.html>Webuy Global</a>	Ecommerce	401.05%	71.12%	81,339,384	16,276,996	218	85	2018
24	<a href=https://maneuvermarketing.com/>Maneuver Marketing</a>	Ecommerce	397.47%	70.71%	207,247,992	41,771,266	36	20	2001
25	<a href=https://www.easytransfer.co.in/?country=IND>EasyTransfer</a>	Fintech, Financial Services & Insurance	391.93%	70.07%	35,097,620	7,772,160	326	138	2013
26	<a href=https://freshlaundry.com.sg/>Fresh Laundry</a>	Retail	370.11%	67.52%	3,915,689	832,925	16	8	2006
27	<a href=https://jdi.group/>JDI</a>	IT & Software	368.29%	67.30%	2,266,924	484,083	10	3	2016
28	<a href=https://declarators.com.sg/>Declarators</a>	Logistics & Transportation	363.48%	66.73%	4,891,308	1,055,348	80	30	2014
29	<a href=https://www.rexih.com/>Rex International Holding</a>	Energy & Utilities	343.63%	64.31%	272,969,979	61,694,474	67	49	2013
30	<a href=https://www.gao-cap.com/>GAO Capital</a>	Fintech, Financial Services & Insurance	328.80%	62.46%	1,569,299	366,946	8	4	2010
31	<a href=https://redhill.world/>Redhill World</a>	Advertising & Marketing	327.43%	62.29%	19,815,979	4,636,119	90	55	2019
32	<a href=https://toku.co/>Toku</a>	IT & Software	314.84%	60.68%	40,637,982	9,822,045	126	20	2018
33	<a href=https://www.erstudio.design/>Erstudio</a>	Construction & Engineering	310.74%	60.15%	3,582,359	872,180	20	12	2017
34	<a href=https://www.sparksystems.sg/>Spark Systems</a>	Fintech, Financial Services & Insurance	310.42%	60.11%	7,208,734	1,756,422	54	49	2016
35	<a href=https://technopals.com/>Technopals</a>	IT & Software	307.83%	59.77%	31,395,580	7,698,142	448	129	2009
36	<a href=https://anchanto.com/>Anchanto</a>	IT & Software	305.59%	59.48%	14,932,614	3,681,739	303	130	2011
37	<a href=https://www.simplifynext.com/>SimplifyNext</a>	IT & Software	305.14%	59.42%	10,500,799	2,591,905	74	45	2018
38	<a href=https://una.financial/>UnaFinancial</a>	Fintech, Financial Services & Insurance	292.31%	57.72%	253,444,150	64,774,967	1553	1038	2015
39	<a href=https://www.regulationasia.com/>Inasia Media</a>	Media & Telecommunications	281.32%	56.23%	1,951,098	511,672	20	8	2015
40	<a href=https://oceanus.com.sg/>Oceanus Group</a>	Food & Beverages	273.94%	55.22%	344,277,000	92,068,000	154	39	2008
41	<a href=https://www.parknparcel.com.sg/>Park N Parcel</a>	Logistics & Transportation	272.82%	55.06%	3,711,100	995,414	8	6	2016
42	<a href=https://www.terra.systems/>Terra Systems</a>	IT & Software	266.97%	54.25%	16,510,504	4,499,093	203	102	2003
43	<a href=https://www.luce.sg/>Luce SG</a>	Real Estate	263.13%	53.71%	18,321,368	5,045,405	672	217	2017
44	<a href=https://www.enovagroup.com.sg/>Enova Electrical</a>	Electrical Manufacturing	261.76%	53.51%	15,700,345	4,340,025	52	22	2008
45	<a href=https://psenergy.com.sg/>PS Energy Group</a>	Logistics & Transportation	252.52%	52.19%	227,280,000	64,473,000	109	73	2008
46	<a href=https://www.wshexperts.com.sg/>WSH Experts</a>	Management Consulting	251.02%	51.98%	35,296,403	10,055,369	794	592	2018
47	<a href=https://www.mowindigital.com/>MOWIN</a>	Advertising & Marketing	243.50%	50.88%	1,757,533	511,649	8	3	2018
48	<a href=https://www.igloocompany.co/>igloo</a>	IT & Software	237.59%	50.01%	14,069,069	4,178,538	106	136	2015
49	<a href=https://www.ti2shipping.com/>Ti2 Logistics</a>	Logistics & Transportation	219.11%	47.23%	36,405,972	11,438,730	10	10	2010
50	<a href=https://www.lanciaconsult.com/>Lancia Consult</a>	Management Consulting	210.20%	45.84%	12,109,654	3,903,806	89	39	2014
51	<a href=https://www.homage.sg/>Homage</a>	Healthcare & Life Sciences	197.57%	43.84%	20,534,462	6,900,706	300	50	2017
52	<a href=https://icecube.asia/>Ice Cube Marketing</a>	Advertising & Marketing	182.74%	41.40%	2,171,401	767,994	21	12	2015
53	<a href=https://www.thatmarketingguy.sg/>That Marketing Guy</a>	Advertising & Marketing	179.14%	40.80%	2,926,407	1,048,377	27	12	2014
54	<a href=https://icarebenefits.asia/>iCare</a>	Fintech, Financial Services & Insurance	173.74%	39.89%	8,967,007	3,284,408	129	87	2015
55	<a href=https://www.unabiz.com/>UnaBiz</a>	IT & Software	160.68%	37.63%	2,351,768	902,182	14	8	2016
56	<a href=https://www.info-tech.com.sg/>Info-Tech Systems Integrators</a>	IT & Software	159.78%	37.47%	38,064,300	14,652,701	418	164	2007
57	<a href=https://accprosingapore.com/>Acc Pro (Singapore) Group</a>	Legal & Accounting Services	158.79%	37.29%	2,498,192	965,340	21	10	2015
58	<a href=https://kindlekids.sg/>Kindle Kids International School</a>	Education & Social Services	151.64%	36.02%	7,907,294	3,142,358	60	40	2017
59	<a href=https://e27.co/>e27</a>	Media & Telecommunications	147.02%	35.18%	2,087,908	845,235	28	27	2007
60	<a href=https://www.uparcel.sg/>uParcel</a>	Logistics & Transportation	146.01%	34.99%	2,061,965	838,178	35	20	2014
61	<a href=https://www.pollisum.com/>Pollisum</a>	Construction & Engineering	138.69%	33.64%	50,377,613	21,106,315	290	209	1982
62	<a href=https://jettersincz.com/>Jetters Incz.</a>	Waste Management & Recycling	134.64%	32.88%	2,015,513	858,967	27	7	2015
63	<a href=https://globeteleservices.com/>Globe Teleservices</a>	Media & Telecommunications	120.38%	30.14%	77,404,385	35,215,823	142	110	2014
64	<a href=https://www.hamcreations.com/>H.A.M. Creations</a>	Construction & Engineering	120.10%	30.08%	10,460,858	4,752,866	50	44	2006
65	<a href=https://rollingarrays.com/>Rolling Arrays</a>	Professional, Scientific & Technical Services	118.08%	29.68%	14,110,000	6,470,000	37	38	2009
66	<a href=https://www.almarc.com.sg/>Almarc Engineering</a>	Mechanical & Plant Engineering	118.03%	29.67%	12,202,048	5,596,602	31	24	2014
