**Rank**	**Name**	**Sector**	**Absolute growth rate** ^(in %)^	**Compound annual growth rate (CAGR)** ^(in %)^	**Revenue 2021** ^(in SGD)^	**Revenue 2018** ^(in SGD)^	**Number of employees 2021**	**Number of employees 2018**	**Founding year**
24	<a href=https://www.haulio.io>Haulio</a>	Logistics & Transportation 	556.9%	87.29%	15,042,005	2,289,788	49	23	2016
25	<a href=https://www.ucare.ai>UCARE.AI</a>	IT & Software 	548.1%	86.44%	2,171,112	335,000	11	4	2016
26	<a href=https://pragmastrategy.com>Pragma</a>	IT & Software 	514.5%	83.17%	2,896,500	471,346	23	5	2016
27	<a href=https://synagie.com>Synagie</a>	Ecommerce 	435.4%	74.94%	85,932,938	16,051,000	357	50	2017
28	<a href=https://www.paneco.com>Paneco.com</a>	Ecommerce 	406.6%	71.75%	15,587,926	3,077,018	14	5	2016
29	<a href=https://spiking.com>Spiking</a>	Fintech, Financial Services & Insurance 	403.5%	71.39%	3,630,000	721,000	15	10	2016
30	<a href=https://sri.sg/>Singapore Realtors Inc</a>	Real Estate 	387.6%	69.57%	131,029,815	26,872,985	34	10	2016
31	<a href=https://www.baltnav.com>Baltnav Singapore</a>	Logistics & Transportation 	383.3%	69.08%	689,983,820	144,141,553	13	10	2017
32	<a href=https://www.deelishbrands.com>Deelish Brands</a>	Food & Beverages 	379.3%	68.60%	5,434,617	1,133,926	80	10	2017
33	<a href=https://jglww.com>JGL Worldwide</a>	Logistics & Transportation 	366.4%	67.08%	59,630,501	12,784,535	31	23	2011
34	<a href=https://www.uparcel.sg>uParcel</a>	Logistics & Transportation 	341.6%	64.07%	2,009,693	455,060	40	8	2014
35	<a href=https://www.ughealthcarecorporation.com>UG Healthcare Corporation</a>	Health Care & Life Sciences 	333.5%	63.06%	338,401,000	78,060,000	1118	n/a	1989
36	<a href=https://wewe.media>Wewe Media</a>	Advertising & Marketing 	316.2%	60.86%	30,157,264	7,315,896	6	10	2013
37	<a href=https://www.declarators.com.sg>Declarators</a>	Logistics & Transportation 	308.3%	59.83%	3,623,803	887,494	51	20	2014
38	<a href=https://www.bluewireless.com>Blue Wireless</a>	Media & Telecommunications 	299.8%	58.71%	9,179,321	2,296,164	49	14	2015
39	<a href=https://robocash.group>Robocash Group</a>	Fintech, Financial Services & Insurance 	292.2%	57.70%	429,940,626	110,679,821	2080	1379	2013
40	<a href=https://www.info-tech.com.sg/>Info-Tech</a>	IT & Software 	285.8%	56.83%	27,488,820	7,125,696	80	68	2007
41	<a href=https://weima.sg>Weima Builders</a>	Construction & Engineering 	266.7%	54.21%	49,442,914	13,481,789	106	37	2017
42	<a href=https://www.heroesofdigital.com>Heroes of Digital</a>	Advertising & Marketing 	265.2%	54.00%	4,975,800	1,362,500	26	15	2015
43	<a href=https://www.artizstudio.sg>Korea Artiz Studio</a>	Professional, Scientific & Technical Services 	252.4%	52.17%	4,080,416	1,158,034	20	14	2017
44	<a href=https://www.tdcx.com>TDCX</a>	Professional, Scientific & Technical Services 	206.3%	45.23%	555,198,000	181,233,000	14706	5731	1995
45	<a href=http://www.bulkings.com.sg>Bulkings Distribution</a>	Wholesale 	201.6%	44.48%	16,413,734	5,442,684	20	11	2017
46	<a href=https://www.viddsee.com>Viddsee</a>	Media & Telecommunications 	201.0%	44.38%	6,433,039	2,137,374	35	28	2013
47	<a href=https://www.oom.com.sg>Oom</a>	Advertising & Marketing 	198.0%	43.90%	10,981,356	3,685,173	59	13	2006
48	<a href=https://glifefoods.com>Glife</a>	Food & Beverages 	197.3%	43.80%	13,989,627	4,704,997	80	20	2017
49	<a href=https://www.wavelifesciences.com>Wave Life Sciences</a>	Health Care & Life Sciences 	184.2%	41.65%	55,371,039	19,672,227	238	301	2012
50	<a href=https://gvt.com.sg>Grand Venture Technology</a>	Manufacturing	183.6%	41.54%	116,256,000	40,997,000	1153	n/a	2012
51	<a href=https://redhill.world>Redhill Communications</a>	Advertising & Marketing 	179.7%	40.89%	7,395,240	2,644,255	51	17	2014
52	<a href=https://www.ahrefs.com>AHREFS</a>	IT & Software 	159.2%	36.48%	115,335,291	44,928,932	39	21	2012
53	<a href=https://www.ecoexchange.com.sg>Eco Exchange</a>	Waste management & recycling 	159.1%	37.34%	2,090,226	806,809	18	12	2013
54	<a href=https://www.ingenious.sg>Ingenious Business Software</a>	IT & Software 	154.2%	37.09%	3,453,923	1,358,660	15	15	2001
55	<a href=https://www.sparksystems.sg>SPARK Systems</a>	Fintech, Financial Services & Insurance 	149.2%	35.58%	2,052,271	823,558	50	35	2016
56	<a href=https://www.businessedge.com.sg>Business Edge</a>	Employment Services 	145.2%	34.86%	63,098,588	25,728,336	25	18	1996
57	<a href=https://www.blackgold-group.com>BlackGold</a>	Energy & Utilities	143.8%	34.59%	18,613,435	7,708,191	n/a	n/a	1997
58	<a href=https://www.tookitaki.com>Tookitaki</a>	IT & Software 	143.0%	34.44%	1,889,906	785,361	100	40	2014
59	<a href=https://www.motorist.sg>Motorist</a>	IT & Software 	141.8%	34.22%	4,704,940	1,945,983	53	26	2015
60	<a href=http://www.intelorg.com.sg>INTELORG</a>	Wholesale 	129.7%	31.94%	496,125,367	218,118,867	16	12	1990
61	<a href=https://www.winpro.com.sg>Win-Pro</a>	IT & Software 	124.2%	30.88%	3,104,666	1,384,703	11	10	1993
62	<a href=https://www.propnex.com>PropNex</a>	Real Estate 	121.9%	30.43%	957,491,704	431,539,196	n/a	n/a	1996
63	<a href=https://www.supremecomponents.com>Supreme Components International</a>	Wholesale 	119.7%	30.01%	54,241,541	24,923,692	28	19	2001
64	<a href=https://psenergy.com.sg>PS Energy</a>	Energy & Utilities	119.2%	29.90%	208,523,000	95,127,000	108	49	2008
65	<a href=https://www.uniongas.com.sg>Union Gas</a>	Energy & Utilities	118.3%	29.72%	123,040,000	56,361,000	n/a	192	1974
66	<a href=https://www.nuffielddental.com.sg>Nuffield Dental Holdings</a>	Health Care & Life Sciences 	118.0%	29.67%	19,201,210	8,807,365	150	39	2014
67	<a href=https://www.aem.com.sg>AEM</a>	Professional, Scientific & Technical Services 	115.3%	29.12%	565,462,000	262,692,000	1496	441	2000
68	<a href=https://www.lighthouse-canton.com>Lighthouse Canton</a>	Fintech, Financial Services & Insurance 	114.6%	28.99%	15,819,920	7,442,374	66	33	2014
69	<a href=http://www.geocoal.com>Geo Energy Resources</a>	Energy & Utilities	114.5%	28.97%	867,641,129	408,405,165	197	197	2008
70	<a href=https://www.reddoorz.com/en-sg>RedDoorz</a>	Hospitality & Travel 	109.7%	28.00%	23,093,000	11,011,000	1069	445	2014
71	<a href=https://www.lanciaconsult.com>Lancia Consult</a>	Management Consulting 	107.7%	27.58%	9,151,608	4,406,844	70	26	2012
72	<a href=https://www.fareastgroup.com.sg>Far East Group</a>	Manufacturing	103.7%	26.76%	83,085,000	40,787,269	400	350	1953
73	Caprico	Wholesale 	102.7%	26.57%	83,124,661	41,397,582	3	2	1985
74	<a href=https://www.eggriculturefoods.com>Eggriculture</a>	Food & Beverages 	101.4%	26.29%	67,058,000	33,295,000	268	194	2018
75	<a href=https://www.nti-nanofilm.com>Nanofilm</a>	Manufacturing	100.8%	26.16%	246,694,000	122,844,000	1400	n/a	1999
76	<a href=https://plainvanilla.com.sg>Plain Vanilla</a>	Food & Beverages 	100.0%	25.98%	5,610,120	2,805,537	112	63	2011
77	<a href=https://www.thirsty.com.sg>Thirsty</a>	Ecommerce 	99.7%	25.93%	6,880,240	3,445,563	15	5	2014
78	<a href=https://www.bluconnection.com>BLUCONNECTION</a>	Chemicals 	96.4%	25.23%	87,233,381	44,848,503	10	9	2009
79	<a href=https://lucemg.com>Luce SG</a>	Professional, Scientific & Technical Services 	95.9%	25.13%	7,827,670	3,995,696	420	300	2017
80	<a href=http://www.sitraholdings.com>Sitra</a>	Manufacturing	90.1%	23.87%	26,744,982	14,072,028	n/a	n/a	1979
81	<a href=https://www.singfuels.com>Sing Fuels</a>	Energy & Utilities	84.4%	22.62%	636,899,211	348,759,798	47	25	2012
82	<a href=https://www.memiontec.com>Memiontec</a>	Construction & Engineering 	83.8%	22.50%	46,205,000	25,134,540	n/a	n/a	1992
83	<a href=https://www.pcrd.com>PCRD</a>	Management Consulting 	82.3%	22.16%	28,786,000	15,791,000	n/a	n/a	1963
84	<a href=https://www.apro.com.sg>APRO</a>	Professional, Scientific & Technical Services 	80.9%	21.85%	76,751,213	42,428,814	1400	900	1985
85	<a href=https://www.aztechglobal.com>Aztech</a>	Manufacturing	80.5%	21.76%	626,009,000	346,822,000	2685	n/a	1986
86	<a href=https://www.khaitan.com.sg>MAPTRASCO</a>	Wholesale 	74.8%	20.46%	170,058,357	98,222,274	8	5	1985
87	<a href=https://www.asiaexcel.com.sg>Asia Excel</a>	Retail 	71.2%	19.63%	11,907,509	6,955,029	18	18	2001
88	<a href=https://www.tcb.com.sg>The Curtain Boutique</a>	Manufacturing	66.8%	18.61%	8,422,000	5,047,763	48	27	2014
89	<a href=https://mlioncorp.com>MLION Corporation</a>	Wholesale 	65.9%	18.39%	144,014,237	87,636,050	30	23	2011
90	<a href=https://adroitoverseas.com>Adroit Overseas</a>	Logistics & Transportation 	56.7%	16.14%	151,228,196	97,474,016	8	9	2010
91	<a href=https://www.e-tech.com.sg>E-Tech</a>	Professional, Scientific & Technical Services 	55.9%	15.96%	15,252,507	9,780,598	200	190	1990
92	<a href=https://www.yms.com.sg>Yeap Medical Supplies</a>	Wholesale 	49.9%	14.44%	37,465,975	25,000,508	77	53	2000
93	<a href=https://www.themeatclub.com.sg>The Meat Club</a>	Food & Beverages 	48.5%	14.08%	2,425,938	1,634,082	4	3	2014
94	<a href=https://www.rafflesmedicalgroup.com>Raffles Medical Group</a>	Health Care & Life Sciences 	48.0%	13.95%	723,791,000	489,135,000	2700	2500	1976
95	<a href=https://whyze.com.sg>Whyze</a>	IT & Software 	41.6%	12.29%	2,930,956	2,070,300	26	19	2008
96	<a href=https://www.lynxanalytics.com>Lynx Analytics</a>	IT & Software 	41.3%	12.21%	9,013,858	6,379,848	68	29	2010
97	<a href=https://www.vitagroup.com.sg>VITA</a>	Wholesale 	37.1%	11.08%	23,900,831	17,439,036	18	7	2003
98	<a href=https://www.soulandtables.com.sg>Soul & Tables</a>	Retail 	36.3%	10.86%	5,819,977	4,271,207	20	12	2012
99	<a href=https://www.huttonsgroup.com>Huttons Group</a>	Real Estate 	34.9%	10.50%	239,940,000	177,825,306	60	48	2002
100	<a href=https://boustead.sg/>Boustead Singapore</a>	Construction & Engineering	34.2%	10.31%	631,811,000	470,646,000	1114	773	1828
