**Rank**	**Name**	**Sector**	**Absolute growth rate** ^(in %)^	**Compound annual growth rate (CAGR)** ^(in %)^	**Revenue 2021** ^(in SGD)^	**Revenue 2018** ^(in SGD)^	**Number of employees 2021**	**Number of employees 2018**	**Founding year**
1	<a href=https://www.rexih.com>Rex International Holding</a>	Energy & Utilities	38829.7%	630.18%	214,168,755	555,474	73	28	2013
2	<a href=https://nwcorp.sg/>NW Corporation</a>	Energy & Utilities	27770.4%	553.20%	492,278,936	1,783,435	12	2	2016
3	<a href=https://doctoranywhere.com>Doctor Anywhere</a>	Health Care & Life Sciences 	10865.7%	378.64%	31,867,788	290,613	480	50	2017
4	<a href=https://www.maneuvermarketing.com>Maneuver Marketing</a>	Ecommerce 	3539.7%	231.40%	114,766,271	3,183,729	29	16	2001
5	<a href=https://www.stashaway.sg>StashAway</a>	Fintech, Financial Services & Insurance 	2669.8%	202.56%	8,065,361	291,189	194	37	2016
6	<a href=https://www.sciecomm.com>SCI Ecommerce</a>	Ecommerce 	1602.5%	157.25%	316,852,000	18,611,454	236	33	2014
7	<a href=https://kindlekids.sg>KKIS</a>	Education & Social Services 	1341.1%	143.35%	4,024,917	279,300	29	12	2017
8	<a href=https://aspireapp.com>Aspire</a>	Fintech, Financial Services & Insurance 	1107.0%	129.39%	9,434,992	781,683	243	20	2017
9	<a href=https://www.sea.com>Sea</a>	Leisure & Entertainment	1103.8%	129.19%	13,456,430,323	1,128,645,926	67300	22600	2009
10	<a href=https://www.helicap.com>Helicap</a>	Fintech, Financial Services & Insurance 	1103.3%	129.15%	5,268,216	437,825	18	9	2018
11	<a href=https://www.smet.edu.sg>Stag Match Education and Training Group</a>	Education & Social Services 	1089.1%	128.25%	2,615,395	219,946	13	4	2016
12	<a href=https://www.codapayments.com/>Coda Payments</a>	Fintech, Financial Services & Insurance 	984.1%	121.32%	418,366,635	38,965,287	421	52	2011
13	<a href=https://rocketech.it>Rocketech</a>	IT & Software 	778.3%	106.32%	1,816,571	206,834	85	8	2017
14	<a href=https://business.moglix.com>Moglix</a>	Ecommerce 	761.0%	104.96%	439,180,000	51,010,586	1000	172	2015
15	<a href=https://grabjobs.co>GrabJobs</a>	IT & Software 	751.1%	104.17%	2,282,200	268,150	15	10	2015
16	<a href=https://technopals.com>Technopals</a>	IT & Software 	745.7%	103.74%	21,181,879	2,504,541	258	47	2009
17	<a href=http://icarebenefits.asia>iCare Benefits Group</a>	Fintech, Financial Services & Insurance 	685.9%	98.82%	5,421,650	696,568	125	82	2015
18	<a href=https://www.handshakes.com.sg>Handshakes</a>	IT & Software 	643.3%	95.16%	7,905,384	1,063,563	120	56	2011
19	<a href=https://www.workmate.asia>Workmate</a>	IT & Software 	629.3%	93.92%	28,979,359	4,012,311	77	30	2015
20	<a href=https://www.ixbiopharma.com>iX Biopharma</a>	Pharmaceuticals & Cosmetics 	609.3%	92.14%	1,745,000	246,000	44	41	2004
21	<a href=https://www.mekhalaliving.com>Mekhala</a>	Food & Beverages 	603.3%	91.59%	2,015,108	286,536	18	10	2012
22	<a href=https://www.legendlogisticsltd.com>Legend Logistics</a>	Logistics & Transportation 	591.8%	90.54%	122,753,654	17,915,798	364	34	2012
23	<a href=https://oxpayfinancial.com>OxPay</a>	Fintech, Financial Services & Insurance 	588.5%	90.24%	17,544,000	2,548,000	n/a	n/a	2005
