Rank,Name,Sector,Absolute growth rate,Compound annual growth rate (CAGR),Revenue 2020,Revenue 2017,Number of employees 2020,Number of employees 2017,Founding year,Website
54,Nuffield Dental,Health,95.9,25.1,14730250.0,7520323.0,90.0,61.0,2014,https://www.nuffielddental.com.sg/
55,E-Tech Building Services,Support Services,89.5,23.7,15007012.0,7921225.0,200.0,180.0,1990,https://www.e-tech.com.sg/
56,Meadway Shipping,Transport,89.4,23.7,279992740.0,149174359.0,8.0,6.0,2010,http://meadwayshipping.com/
57,APRO-Asian Protection,Support Services,81.4,22.0,73380000.0,40442504.0,1560.0,970.0,1985,https://www.apro.com.sg/
58,Gushcloud Talent Agency,Sales & Marketing,78.6,21.3,24780000.0,13872000.0,200.0,150.0,2011,https://www.gushcloud.com
59,Boustead,Industrial Goods,78.1,21.2,685710000.0,385106000.0,1114.0,773.0,1828,https://boustead.sg/
60,WSE,Energy,77.6,21.1,2265000.0,1275000.0,13.0,9.0,2016,http://www.wse.sg/
61,Bluconnection,Chemicals,75.2,20.5,41079988.0,23669018.0,9.0,8.0,2009,https://www.bluconnection.com
62,iFAST Corporation,Fintech,73.6,20.2,85856744.0,49444678.0,970.0,570.0,2000,https://www.ifastcorp.com/
63,Activate Interactive,Technology,71.4,19.7,11622345.0,6782024.0,107.0,37.0,1997,https://www.activate.sg
64,Sheng Siong Group,Retail,68.0,18.9,1393998000.0,829877000.0,,,1985,https://corporate.shengsiong.com.sg/
65,GKE Corporation,Transport,66.5,18.5,118986000.0,71464000.0,896.0,786.0,2000,https://www.gke.com.sg/
66,Memiontec,Construction,66.2,18.4,34605851.0,20825000.0,,,1992,http://memiontec.com/
67,Caprico International,Wholesale Trade,62.8,17.6,64194324.0,39797379.0,3.0,2.0,1995,
68,Adroit Overseas,Agricultural Commodities,51.2,14.8,130369499.0,87007525.0,10.0,8.0,2010,https://adroitoverseas.com/
69,Khaitan International,Agricultural Commodities,44.5,13.1,114600817.0,80026026.0,5.0,3.0,1985,https://khaitan.com.sg/
70,Connect Group,Travel & Leisure,42.4,12.5,9496836.0,6667287.0,154.0,124.0,2012,https://www.connectcue.com
71,Tesha Coporation,Sales & Marketing,41.1,12.2,3131573.0,2240328.0,4.0,1.0,2012,https://www.teshagroup.com/
72,Asia Excel,Retail,41.0,12.1,8012354.0,5682544.0,25.0,20.0,2007,https://www.asiaexcel.com.sg
73,Danovel,Manufacturing & Retailing,40.1,11.9,1602827.0,1144289.0,20.0,15.0,1996,https://www.danovel.com
74,CSE Global,Technology,38.8,11.5,502789000.0,362352000.0,1278.0,,1985,http://www.cse-global.com/
75,Singapore O&G,Health,33.4,10.1,39889000.0,29902000.0,80.0,64.0,2011,https://www.sog.com.sg/
