Rank,Name,Sector,Absolute growth rate,Compound annual growth rate,Revenue 2022,Revenue 2019,Number of employees in 2022,Number of employees in 2019,Founding year,Website
54,Ingenious Business Software,IT & Software,180.28,40.99,3630852.0,1295425.0,19,16,2001,https://www.ingenious.sg/
55,WEWE Media,Advertising & Marketing,173.2,39.8,36294142.0,13144942.0,8,10,2013,https://wewe.media/
56,AEM Holdings,IT & Software,169.39,39.14,870491000.0,323130000.0,2898,585,1992,https://aem.com.sg/
57,MCI Outsourcing,"Professional, Scientific & Technical Services",159.87,37.48,34239642.0,13175665.0,1592,1103,2016,https://www.mci.com.sg/
58,Alpha Ori Technologies,IT & Software,155.28,36.67,19990672.0,7748417.0,216,88,2017,https://www.alphaori.sg/
59,Weima Builders,Construction & Engineering,154.61,36.55,87668293.0,34432173.0,152,65,2017,https://weima.sg/
60,PropNex,Real Estate,145.14,34.84,1029193000.0,419837000.0,153,96,2000,https://www.propnex.com/
61,Enova Electrical,Electrical Manufacturing,142.01,34.26,12894000.0,5328000.0,45,22,2008,http://www.enova-electric.com/
62,Global Alliance Logistics,Logistics & Transportation,136.68,33.27,21193436.0,8954645.0,30,17,2013,https://globalalliancelog.com/
63,Asia Excel,Retail,135.85,33.11,15910431.0,6745956.0,20,18,2007,https://www.asiaexcel.com.sg/
64,Synergy Financial Advisers,"Fintech, Financial Services & Insurance",128.23,31.66,6197743.0,2715550.0,31,30,2012,https://synergy.com.sg/
65,Motorist,Automotive,125.59,31.15,5807519.0,2574388.0,47,33,2015,https://www.motorist.sg/
66,Redhill,Advertising & Marketing,117.49,29.56,8524099.0,3919295.0,75,50,2014,https://redhill.world/
67,LanciaConsult,Management Consulting,114.89,29.04,11938280.0,5555622.0,84,32,2012,https://www.lanciaconsult.com/
68,CBG Logistics,Logistics & Transportation,104.25,26.88,12668194.0,6202422.0,55,37,2005,https://cbg.com.sg/
69,Jetters Incz.,Waste management & recycling,104.04,26.83,1718861.0,842414.0,10,7,2015,https://jetters.com.sg/
70,UnaBiz,IT & Software,103.91,26.81,1960428.0,961420.0,240,150,2016,https://www.unabiz.com/
71,TDCX,"Professional, Scientific & Technical Services",101.09,26.22,664120000.0,330265000.0,17883,9214,1995,https://www.tdcx.com/
72,Almarc Engineering,Manufacturing,100.83,26.17,11533442.0,5742846.0,32,29,2014,https://www.almarc.com.sg/
73,Ahrefs,IT & Software,100.47,26.09,137721673.0,67978142.0,40,25,2012,https://ahrefs.com/
74,Lovebonito Holdings,Apparel & Fashion,100.44,26.08,64508210.0,32183328.0,377,180,2010,https://www.lovebonito.com/intl
75,Nuffield Holdings,Health Care & Life Sciences,98.21,25.61,21488941.0,10841797.0,95,89,2014,https://www.nuffielddental.com.sg/
76,Vinova,IT & Software,95.5,25.04,4167841.0,2131943.0,119,55,2010,https://vinova.sg/
77,Aztech,Electrical Manufacturing,91.28,24.13,820244000.0,428825000.0,1307,918,2009,https://www.aztechglobal.com/
78,Handshakes,IT & Software,88.54,23.54,10757943.0,5706033.0,129,64,2011,https://www.handshakes.com.sg/
79,Globe Teleservices,Media & Telecommunications,86.1,23.0,62204302.0,33073155.0,133,100,2014,https://www.globeteleservices.com/
80,Bluconnection,Chemicals,85.42,22.85,98046640.0,52322828.0,27,8,2009,https://www.bluconnection.com/
81,Beyond Medical Group,Health Care & Life Sciences,76.27,20.8,30847956.0,17500746.0,70,50,2013,https://beyondmedical.com.sg/
82,Tesha Corporation,"Agriculture, Forestry & Fishing",74.19,20.32,5910366.0,3357404.0,9,4,2012,https://www.teshagroup.com/
83,Easmed,Health Care & Life Sciences,74.1,20.3,11852923.0,6808106.0,30,24,2006,https://www.easmed.com/
84,Vita Group,Wholesale,73.87,20.25,25216359.0,14502677.0,22,11,2015,https://vitagroup.com.sg/
85,Khaitan International,Wholesale,69.87,19.32,204394180.0,119060850.0,10,7,1985,https://khaitan.com.sg/
86,The Curtain Boutique,Retail,66.06,18.42,8914528.0,5368315.0,55,37,2014,https://www.tcb.com.sg/
87,Pollisum,Construction & Engineering,60.55,17.1,32680499.0,20354933.0,206,179,1982,https://www.pollisum.com/
88,MCI Career Services,Employment Services,59.0,16.72,25437880.0,15998245.0,610,118,2007,https://www.mci.com.sg/
89,The Smart Local (TSL) Media Group,Media & Telecommunications,56.93,16.21,11054974.0,7044734.0,140,94,2013,https://tslmedia.sg/
90,Huttons,Real Estate,56.77,16.17,239980000.0,153078000.0,59,48,2002,https://www.huttonsgroup.com/
91,Herbal Pharm,Retail,50.99,14.72,10541145.0,6981488.0,53,37,2004,https://www.herbalpharm.com.sg/
92,Intelorg,Wholesale,49.12,14.25,472903243.0,313783030.0,16,15,1990,http://www.intelorg.com.sg/
93,The Meat Club,Ecommerce,47.22,13.76,2509582.0,1704709.0,3,3,2015,https://www.themeatclub.com.sg/
94,Onn Wah Precision Engineering,Manufacturing,45.11,13.21,45811948.0,31571579.0,239,233,1999,https://onnwah.com/
95,Whyze Solutions,IT & Software,40.0,11.87,3132838.0,2237753.0,26,19,2008,https://whyze.com.sg/
96,Reddoorz,Hospitality & Travel,39.04,11.61,28252000.0,20320000.0,953,1594,2014,https://www.reddoorz.com/en-sg
97,Caprico International,Wholesale,38.02,11.34,76439718.0,54800493.0,3,2,1995,
98,UOB Kay Hian,"Fintech, Financial Services & Insurance",33.0,9.97,495710000.0,372720000.0,507,567,1990,https://www.uobkayhian.com/
99,Connect Group,Hospitality & Travel,29.99,9.14,11230158.0,8639529.0,142,145,2012,https://www.connectcue.com/
100,Rolling Arrays,IT & Software,26.98,8.29,9327942.0,7346132.0,33,52,2009,https://rollingarrays.com/
