dataset_year,period_start,period_end,rank,company_name,sector,absolute_growth_rate,compound_annual_growth_rate,revenue_start,revenue_end,employees_start,employees_end,founding_year,website
2023,2018,2021,1,Rex International Holding,Energy,38829.7,630.18,555474,,28,,2013,https://www.rexih.com
2023,2018,2021,2,NW Corporation,Energy,27770.4,553.2,1783435,,2,,2016,https://nwcorp.sg/
2023,2018,2021,3,Doctor Anywhere,Healthcare & Life Sciences,10865.7,378.64,290613,,50,,2017,https://doctoranywhere.com
2023,2018,2021,4,Maneuver Marketing,Ecommerce,3539.7,231.4,3183729,,16,,2001,https://www.maneuvermarketing.com
2023,2018,2021,5,StashAway,Fintech,2669.8,202.56,291189,,37,,2016,https://www.stashaway.sg
2023,2018,2021,6,SCI Ecommerce,Ecommerce,1602.5,157.25,18611454,,33,,2014,https://www.sciecomm.com
2023,2018,2021,7,KKIS,Education,1341.1,143.35,279300,,12,,2017,https://kindlekids.sg
2023,2018,2021,8,Aspire,Fintech,1107,129.39,781683,,20,,2017,https://aspireapp.com
2023,2018,2021,9,Sea,Leisure & Entertainment,1103.8,129.19,1128645926,,22600,,2009,https://www.sea.com
2023,2018,2021,10,Helicap,Fintech,1103.3,129.15,437825,,9,,2018,https://www.helicap.com
2023,2018,2021,11,Stag Match Education and Training Group,Education,1089.1,128.25,219946,,4,,2016,https://www.smet.edu.sg
2023,2018,2021,12,Coda Payments,Fintech,984.1,121.32,38965287,,52,,2011,https://www.codapayments.com/
2023,2018,2021,13,Rocketech,Technology,778.3,106.32,206834,,8,,2017,https://rocketech.it
2023,2018,2021,14,Moglix,Ecommerce,761,104.96,51010586,,172,,2015,https://business.moglix.com
2023,2018,2021,15,GrabJobs,Technology,751.1,104.17,268150,,10,,2015,https://grabjobs.co
2023,2018,2021,16,Technopals,Technology,745.7,103.74,2504541,,47,,2009,https://technopals.com
2023,2018,2021,17,iCare Benefits Group,Fintech,685.9,98.82,696568,,82,,2015,http://icarebenefits.asia
