Rank,Name,Sector,Absolute growth rate,Compound annual growth rate (CAGR),Revenue 2023,Revenue 2020,Number of employees 2023,Number of employees 2020,Founding year,Website
83,Dglux,Construction & Engineering,69.2,19.16,1534350.0,906831.0,7,9,2010,https://www.dglux.com.sg/
84,Securistate,"Professional, Scientific & Technical Services",66.41,18.5,14326227.0,8608787.0,300,350,2010,https://securistate.com/
85,Nuffield Holdings,Healthcare & Life Sciences,66.19,18.45,24504090.0,14744290.0,140,110,2014,https://www.nuffielddental.com.sg/
86,Vita Group,Wholesale,65.69,18.33,24163897.0,14583838.0,16,10,2003,https://vitawoodglobal.com/
87,Den-Jet Marine,Manufacturing,61.13,17.24,29940691.0,18581513.0,22,19,2004,https://denjet.com/
88,Ingenious Business Software,IT & Software,57.02,16.23,3524481.0,2244675.0,17,16,2004,https://www.ingenious.sg/
89,Leong Guan Food Manufacturer,Food & Beverages,53.66,15.4,21810513.0,14193863.0,189,187,2005,https://leongguan.com/
90,Huttons Asia,Real Estate,52.48,15.1,235096726.0,154183849.0,55,53,2002,https://www.huttonsgroup.com/
91,Leong Guan Food Trading,Food & Beverages,51.09,14.75,23657248.0,15657865.0,65,50,2003,https://leongguan.com/
92,ACS Freight Services,Logistics & Transportation,47.3,13.78,24788370.0,16828677.0,75,38,2011,https://acsfrt.com.sg/
93,Lih Ming Construction,Construction & Engineering,45.16,13.23,19117319.0,13169869.0,103,93,2002,https://www.lihming.com.sg/
94,Falcon Mobility,Retail,44.56,13.07,2465487.0,1705509.0,8,8,2007,https://www.falconmobility.com.sg/
95,CSE Global Limited,IT & Software,44.21,12.98,725051000.0,502789000.0,2000,1400,1987,https://www.cse-global.com/
96,Watson EP Industries,Manufacturing,41.78,12.34,43767876.0,30871033.0,74,70,1980,https://www.watsonep.com.sg/
97,ERA Realty Network,Real Estate,41.07,12.15,547709978.0,388261283.0,151,110,1981,https://www1.era.com.sg/
98,Rentalworks Group,IT & Software,40.24,11.93,5626017.0,4011685.0,37,20,2007,https://rentalworks.com.sg/
99,Family Movers,Logistics & Transportation,40.1,11.9,9393864.0,6705118.0,37,37,1975,https://www.familymovers.com/
100,Vinova,IT & Software,39.88,11.84,4862665.0,3476218.0,126,76,2010,https://vinova.sg/
