dataset_year,period_start,period_end,rank,company_name,sector,absolute_growth_rate,compound_annual_growth_rate,revenue_start,revenue_end,employees_start,employees_end,founding_year,website
2021,2016,2019,58,Sen Yue Holdings,Waste management and recycling,59.9,16.9,152224000,,,,2001,http://senyueholdings.com
2021,2016,2019,59,Builders Alliance,Construction,59.4,16.8,8015920,,79,,2004,http://buildersalliance.com.sg
2021,2016,2019,60,Ti2 Logistics,Transport,59.3,16.8,7975492,,19,,2010,http://www.ti2shipping.com
2021,2016,2019,61,Koda,Interiors,45.8,16,53686295,,,,1972,http://www.kodaonline.com
2021,2016,2019,62,IFAST Corporation,Fintech,55.6,15.9,80596370,,,,2000,http://www.ifastcorp.com
2021,2016,2019,63,The Advocators & Co,Sales and marketing,55.1,15.7,1378332,,4,,2016,http://www.lizardstorm.com
2021,2016,2019,64,Tesha Corporation,Retail,43.4,15.3,2354459,,1,,2012,http://www.teshagroup.com
2021,2016,2019,65,INTELORG,Retail,42.8,15.2,217688955,,11,,1990,http://www.intelorg.com.sg
2021,2016,2019,66,QXY Resources,Construction,50.3,14.6,25682101,,83,,2004,http://www.qxyresources.com
2021,2016,2019,67,Katrina Group,Restaurants,48.5,14.1,56823000,,,,1995,http://katrinagroup.com
2021,2016,2019,68,EDIT SUITS,Fashion,43.6,12.8,2562814,,12,,2013,http://www.editsuits.com
2021,2016,2019,69,Decision Science Agency,Management consulting,43.3,12.7,4385306,,35,,2013,http://www.decision-science.com
2021,2016,2019,70,Powermatic Data Systems,Technology,41,12.1,15432000,,,,1989,http://powermatic.com.sg
2021,2016,2019,71,Benjamin Barker Aust,Retail,39.9,11.8,9579210,,53,,2009,http://www.benjaminbarker.co
2021,2016,2019,72,Singapore OG,Health,38.7,11.5,28700000,,55,,2011,http://www.sog.com.sg
2021,2016,2019,73,Geo Energy Group,Energy,27.8,11,263452939,,163,,2008,http://www.geocoal.com
2021,2016,2019,74,E-Tech Building Services,Support services,30.8,9.4,7279974,,75,,1990,http://www.e-tech.com.sg
2021,2016,2019,75,EOS Furniture,Retail,30.2,9.2,3366612,,15,,2012,http://www.soulandtables.com.sg
