dataset_year,period_start,period_end,rank,company_name,sector,absolute_growth_rate,compound_annual_growth_rate,revenue_start,revenue_end,employees_start,employees_end,founding_year,website
2020,2015,2018,1,Synagie Corporation,Ecommerce,8380.07438754431,339.339131642655,189,,23,,2014,http://www.synagie.com
2020,2015,2018,2,Sinanju Tankers Holdings,Transport,3738.0952380952,237.317274311162,21000,,140,,1992,http://www.sinanju.com.sg
2020,2015,2018,3,Grab Holdings,Technology,3603.7037037037,233.333333333333,36783,,1000,,2012,http://www.grab.com
2020,2015,2018,4,Coda Payments,Fintech,3423.5217963306,227.837770394067,1104,,22,,2015,http://www.codapay.com
2020,2015,2018,5,KC Group,Retail,2417.5249648397,193.083427606732,964,,100,,2013,http://www.kcgroup.sg
2020,2015,2018,6,BR Metals,Waste Management,2175.5971341439,183.377344369558,2063,,6,,2014,http://www.brmetalsltd.sg
2020,2015,2018,7,Roadbull Logistics,Technology,2166.0098522168,182.97881998494,203,,7,,2015,http://www.roadbull.com
2020,2015,2018,8,GlobalTix,Travel & Leisure,1950.0093978121,173.685601957483,1841,,6,,2013,http://www.globaltix.com
2020,2015,2018,9,Red Dot Payment,Fintech,1891.1832072895,171.042299796846,420,,29,,2011,http://reddotpayment.com
2020,2015,2018,10,Cynopsis Solutions,Technology,1337.7287092675,143.160100947885,215,,3,,2014,http://www.cynopsis.co
2020,2015,2018,11,Sunseap Group,Energy,1314.1581763684,141.823960513123,3290,,45,,2015,http://www.sunseap.com
2020,2015,2018,12,Sqreem Technologies,Technology,1197.3956845191,134.976347975338,189,,19,,2010,http://sqreemtech.com
2020,2015,2018,13,Blue Wireless,Telecoms,1170.3183867666,133.330150620303,181,,1,,2015,http://www.bluewireless.com
2020,2015,2018,14,DROOTOO,Technology,1150,132.079441680639,200,,7,,2013,http://www.drootoo.com
2020,2015,2018,15,McMerhons,Technology,900,115.443469003188,150,,10,,2007,http://www.mcmerhons.com
2020,2015,2018,16,Boxgreen,Ecommerce,791.0891089109,107.319607784296,202,,6,,2014,http://www.boxgreen.co
2020,2015,2018,17,Immigration@SG,Support Services,768.8832548594,105.582973134997,207,,2,,2014,http://www.iasg.com.sg
2020,2015,2018,18,The Edge Property,Property,659.0232876336,96.525254294073,764,,38,,2014,http://www.edgeprop.sg
2020,2015,2018,19,CoAssets,Fintech,614.1356498136,92.572190819008,816,,17,,2013,http://www.coassets.com
2020,2015,2018,20,KSE Marine Works,Construction,600,91.293118277239,3000,,40,,2004,http://www.ksemarine.com
2020,2015,2018,21,MM2 Asia,Media,594.3163440972,90.773975307473,38338,,,,2014,http://www.mm2entertainment.com
