Rank,Name,Website,Sector,Absolute growth rate (in %),Compound annual growth rate (CAGR) (in %),Revenue 2019 (in SGD),Revenue 2016 (in SGD),Number of employees 2019,Number of employees 2016,Founding year
54,DTC World Corporation,http://www.dtcworld.com.sg,Sales and marketing,65.2,18.2,17323663.0,10484852.0,31.0,19.0,2006
55,Connect Group,http://connectcue.com,Travel and leisure,63.6,17.8,10758586.0,6574689.0,159.0,92.0,2012
56,Procurri Corporation,http://procurri.com,Technology,63.0,17.7,221289000.0,135750000.0,496.0,350.0,2009
57,Baker & Cook,http://www.bakerandcook.biz,Food and beverage,60.7,17.1,12187585.0,7586015.0,147.0,95.0,2012
58,Sen Yue Holdings,http://senyueholdings.com,Waste management and recycling,59.9,16.9,243442000.0,152224000.0,,,2001
59,Builders Alliance,http://buildersalliance.com.sg,Construction,59.4,16.8,12777334.0,8015920.0,88.0,79.0,2004
60,Ti2 Logistics,http://www.ti2shipping.com,Transport,59.3,16.8,12707284.0,7975492.0,22.0,19.0,2010
61,Koda,http://www.kodaonline.com,Interiors,45.8,16.0,78272879.0,53686295.0,2070.0,,1972
62,IFAST Corporation,http://www.ifastcorp.com,Fintech,55.6,15.9,125411120.0,80596370.0,,,2000
63,The Advocators & Co,http://www.lizardstorm.com,Sales and marketing,55.1,15.7,2137208.0,1378332.0,6.0,4.0,2016
64,Tesha Corporation,http://www.teshagroup.com,Retail,43.4,15.3,3375229.0,2354459.0,2.0,1.0,2012
65,INTELORG,http://www.intelorg.com.sg,Retail,42.8,15.2,310753807.0,217688955.0,15.0,11.0,1990
66,QXY Resources,http://www.qxyresources.com,Construction,50.3,14.6,38606778.0,25682101.0,109.0,83.0,2004
67,Katrina Group,http://katrinagroup.com,Restaurants,48.5,14.1,84356000.0,56823000.0,,,1995
68,EDIT SUITS,http://www.editsuits.com,Fashion,43.6,12.8,3681152.0,2562814.0,19.0,12.0,2013
69,Decision Science Agency,http://www.decision-science.com,Management consulting,43.3,12.7,6284908.0,4385306.0,37.0,35.0,2013
70,Powermatic Data Systems,http://powermatic.com.sg,Technology,41.0,12.1,21756000.0,15432000.0,,,1989
71,Benjamin Barker Aust,http://www.benjaminbarker.co,Retail,39.9,11.8,13401773.0,9579210.0,77.0,53.0,2009
72,Singapore OG,http://www.sog.com.sg,Health,38.7,11.5,39800000.0,28700000.0,82.0,55.0,2011
73,Geo Energy Group,http://www.geocoal.com,Energy,27.8,11.0,336807626.0,263452939.0,188.0,163.0,2008
74,E-Tech Building Services,http://www.e-tech.com.sg,Support services,30.8,9.4,9524276.0,7279974.0,180.0,75.0,1990
75,EOS Furniture,http://www.soulandtables.com.sg,Retail,30.2,9.2,4381917.0,3366612.0,14.0,15.0,2012
