Rank,Name,Sector,Absolute growth rate,Compound annual growth rate (CAGR),Revenue 2021,Revenue 2018,Number of employees 2021,Number of employees 2018,Founding year,Website
50,Grand Venture Technology,Manufacturing,183.6,41.54,116256000.0,40997000.0,1153.0,,2012,https://gvt.com.sg
51,Redhill Communications,Advertising & Marketing ,179.7,40.89,7395240.0,2644255.0,51.0,17.0,2014,https://redhill.world
52,AHREFS,IT & Software ,159.2,36.48,115335291.0,44928932.0,39.0,21.0,2012,https://www.ahrefs.com
53,Eco Exchange,Waste management & recycling ,159.1,37.34,2090226.0,806809.0,18.0,12.0,2013,https://www.ecoexchange.com.sg
54,Ingenious Business Software,IT & Software ,154.2,37.09,3453923.0,1358660.0,15.0,15.0,2001,https://www.ingenious.sg
55,SPARK Systems,"Fintech, Financial Services & Insurance ",149.2,35.58,2052271.0,823558.0,50.0,35.0,2016,https://www.sparksystems.sg
56,Business Edge,Employment Services ,145.2,34.86,63098588.0,25728336.0,25.0,18.0,1996,https://www.businessedge.com.sg
57,BlackGold,Energy & Utilities,143.8,34.59,18613435.0,7708191.0,,,1997,https://www.blackgold-group.com
58,Tookitaki,IT & Software ,143.0,34.44,1889906.0,785361.0,100.0,40.0,2014,https://www.tookitaki.com
59,Motorist,IT & Software ,141.8,34.22,4704940.0,1945983.0,53.0,26.0,2015,https://www.motorist.sg
60,INTELORG,Wholesale ,129.7,31.94,496125367.0,218118867.0,16.0,12.0,1990,http://www.intelorg.com.sg
61,Win-Pro,IT & Software ,124.2,30.88,3104666.0,1384703.0,11.0,10.0,1993,https://www.winpro.com.sg
62,PropNex,Real Estate ,121.9,30.43,957491704.0,431539196.0,,,1996,https://www.propnex.com
63,Supreme Components International,Wholesale ,119.7,30.01,54241541.0,24923692.0,28.0,19.0,2001,https://www.supremecomponents.com
64,PS Energy,Energy & Utilities,119.2,29.9,208523000.0,95127000.0,108.0,49.0,2008,https://psenergy.com.sg
65,Union Gas,Energy & Utilities,118.3,29.72,123040000.0,56361000.0,,192.0,1974,https://www.uniongas.com.sg
66,Nuffield Dental Holdings,Health Care & Life Sciences ,118.0,29.67,19201210.0,8807365.0,150.0,39.0,2014,https://www.nuffielddental.com.sg
67,AEM,"Professional, Scientific & Technical Services ",115.3,29.12,565462000.0,262692000.0,1496.0,441.0,2000,https://www.aem.com.sg
68,Lighthouse Canton,"Fintech, Financial Services & Insurance ",114.6,28.99,15819920.0,7442374.0,66.0,33.0,2014,https://www.lighthouse-canton.com
69,Geo Energy Resources,Energy & Utilities,114.5,28.97,867641129.0,408405165.0,197.0,197.0,2008,http://www.geocoal.com
70,RedDoorz,Hospitality & Travel ,109.7,28.0,23093000.0,11011000.0,1069.0,445.0,2014,https://www.reddoorz.com/en-sg
71,Lancia Consult,Management Consulting ,107.7,27.58,9151608.0,4406844.0,70.0,26.0,2012,https://www.lanciaconsult.com
72,Far East Group,Manufacturing,103.7,26.76,83085000.0,40787269.0,400.0,350.0,1953,https://www.fareastgroup.com.sg
73,Caprico,Wholesale ,102.7,26.57,83124661.0,41397582.0,3.0,2.0,1985,
74,Eggriculture,Food & Beverages ,101.4,26.29,67058000.0,33295000.0,268.0,194.0,2018,https://www.eggriculturefoods.com
75,Nanofilm,Manufacturing,100.8,26.16,246694000.0,122844000.0,1400.0,,1999,https://www.nti-nanofilm.com
76,Plain Vanilla,Food & Beverages ,100.0,25.98,5610120.0,2805537.0,112.0,63.0,2011,https://plainvanilla.com.sg
77,Thirsty,Ecommerce ,99.7,25.93,6880240.0,3445563.0,15.0,5.0,2014,https://www.thirsty.com.sg
